,property_type,state,lat,lon,area_m2,price_usd
0,house,Estado de México,19.560181,-99.233528,150.0,67965.56
1,house,Nuevo León,25.6884355,-100.1988071,186.0,63223.78
2,apartment,Guerrero,16.767704,-99.764383,82.0,84298.37
3,apartment,Guerrero,16.829782,-99.911012,150.0,94308.8
4,house,Veracruz de Ignacio de la Llave,,,175.0,94835.67
5,house,Yucatán,21.0525830247,-89.5386385918,205.0,
6,house,Querétaro,20.7163149,-100.4525027,320.0,
7,house,Querétaro,,,202.0,
8,house,Nuevo León,,,90.0,
9,house,Morelos,18.8126047,-98.9548261,281.0,
10,house,Chiapas,16.769737,-93.088928,140.0,
11,house,Estado de México,19.305407331,-99.646948278,235.0,
12,house,Morelos,18.804197,-98.932816,117.0,
13,apartment,Guerrero,16.775165,-99.789939,117.0,
14,house,Yucatán,21.0483333,-89.6780555,193.0,
15,house,Estado de México,19.560181,-99.233528,85.0,
16,house,Tabasco,18.0140820847,-92.896399498,135.0,
17,apartment,Distrito Federal,19.390748,-99.158695,127.0,
18,apartment,Yucatán,21.3371507411,-89.3226885796,208.0,
19,house,Distrito Federal,19.337652,-99.2233268,297.0,
20,house,Nayarit,21.518174,-104.9074948,173.0,
21,house,Morelos,18.855343,-99.241142,73.0,
22,apartment,Puebla,19.0248763,-98.1945109,170.0,
23,apartment,Distrito Federal,19.403334,-99.157755,129.0,
24,apartment,Distrito Federal,19.428152,-99.106194,68.0,
25,house,Puebla,18.991881,-98.275275,334.0,
26,house,Veracruz de Ignacio de la Llave,25.624891,-103.397214,106.0,
27,house,Yucatán,20.997143,-89.601028,132.0,
28,house,Sinaloa,23.239141,-106.412613,104.0,
29,apartment,Distrito Federal,19.430141,-99.172536,97.0,
30,apartment,Guerrero,,,150.0,
31,house,Estado de México,19.538595,-99.180214,200.0,
32,house,Morelos,,,170.0,
33,apartment,Yucatán,21.030668,-89.599258,80.0,
34,house,Tabasco,17.8931239971,-92.9212732315,70.0,
35,house,Chiapas,16.717077,-93.162903,240.0,
36,house,Puebla,,,194.0,
37,house,Chihuahua,,,150.0,
38,house,Tamaulipas,22.3261979,-97.8885244,188.0,
39,house,Yucatán,21.0231861,-89.5863038,253.0,
40,apartment,Distrito Federal,19.39365,-99.14769,128.0,
41,house,Veracruz de Ignacio de la Llave,25.569582,-103.33239,350.0,
42,house,Morelos,,,240.0,
43,house,Veracruz de Ignacio de la Llave,25.581369,-103.377648,133.0,
44,house,Morelos,,,220.0,
45,house,Puebla,19.0412967,-98.2061996,250.0,
46,house,Distrito Federal,19.390301,-99.11161,187.0,
47,apartment,Puebla,,,106.0,
48,house,Veracruz de Ignacio de la Llave,19.101803,-96.163884,127.0,
49,apartment,Puebla,19.026517,-98.214364,102.0,
50,house,Jalisco,23.634501,-102.552788,107.0,
51,house,Yucatán,21.075163,-89.516731,242.0,
52,house,Distrito Federal,19.3605334,-99.2267067,245.0,
53,apartment,Distrito Federal,19.351369,-99.248993,90.0,
54,apartment,Distrito Federal,19.412142,-99.146127,75.0,
55,apartment,Puebla,18.987232,-98.206947,93.0,
56,apartment,San Luis Potosí,,,155.0,
57,house,Estado de México,19.715134,-99.214828,126.0,
58,house,Distrito Federal,19.374069,-99.01932,300.0,
59,house,San Luis Potosí,22.133745,-101.016029,132.0,
60,house,Morelos,18.804197,-98.932816,130.0,
61,apartment,Yucatán,21.0294432,-89.6322061,237.0,
62,house,Sinaloa,24.8093254,-107.4692179,96.0,
63,apartment,Distrito Federal,19.33923,-99.218987,102.0,
64,house,Baja California,32.493049,-116.907481,76.0,
65,house,Hidalgo,20.1254846,-98.7362998,229.0,
66,house,Morelos,18.960244,-99.212962,305.0,
67,house,Puebla,23.634501,-102.552788,128.0,
68,house,Estado de México,19.5380802461,-99.2384793394,240.0,
69,house,Quintana Roo,21.129547,-86.817017,135.0,
70,house,Nuevo León,25.5683841,-100.2439723,320.0,
71,house,Chiapas,,,96.0,
72,house,Estado de México,,,268.0,
73,apartment,Tamaulipas,22.217112,-97.854477,170.0,
74,house,Guerrero,16.860338,-99.870399,168.0,
75,house,Veracruz de Ignacio de la Llave,,,180.0,
76,house,Veracruz de Ignacio de la Llave,19.109509,-96.111477,220.0,
77,house,Guerrero,16.771518,-99.772466,180.0,
78,house,Querétaro,23.634501,-102.552788,250.0,
79,apartment,Yucatán,21.0307114,-89.6181018,157.0,
80,house,Querétaro,20.6536084,-100.3469826,128.0,
81,house,Estado de México,19.650003,-99.220367,135.0,
82,house,Hidalgo,,,176.0,
83,house,Nuevo León,25.708134,-100.145821,60.0,
84,house,Nuevo León,25.751371,-100.238281,185.0,
85,apartment,Distrito Federal,19.351371,-99.161529,60.0,
86,house,Distrito Federal,19.298899,-99.208048,300.0,
87,house,Veracruz de Ignacio de la Llave,25.581989,-103.378005,220.0,
88,house,Tamaulipas,26.074236,-98.349915,200.0,
89,house,Quintana Roo,21.1504824698,-86.8156854808,261.0,
90,apartment,Distrito Federal,,,81.0,
91,house,Jalisco,20.785506,-103.442286,98.0,
92,apartment,Distrito Federal,19.374421,-99.13907,72.0,
93,house,Yucatán,20.99947,-89.642815,211.0,
94,house,Querétaro,,,128.0,
95,house,Estado de México,19.533243,-99.227295,200.0,
96,house,Querétaro,20.705742,-100.444016,300.0,
97,house,Sonora,29.058504,-110.978981,185.0,
98,house,Puebla,18.99466,-98.2761016,178.0,
99,house,Sinaloa,24.754314,-107.402241,280.0,
100,house,Puebla,,,247.0,
101,house,Estado de México,19.544106,-99.112656,131.0,
102,house,Querétaro,,,350.0,
103,house,Chihuahua,28.6329957,-106.0691004,115.0,
104,house,Yucatán,20.992149142,-89.5655331016,121.0,
105,house,San Luis Potosí,22.141575,-100.900192,108.0,
106,house,Distrito Federal,19.499857,-99.097517,300.0,
107,apartment,Distrito Federal,19.381729,-99.164986,80.0,
108,house,Morelos,18.942068,-99.242531,290.0,
109,house,Puebla,19.087196,-98.288637,148.0,
110,house,Veracruz de Ignacio de la Llave,19.1616453,-96.154687,290.0,
111,house,Puebla,18.989595,-98.203529,200.0,
112,house,Morelos,18.917542,-98.963181,220.0,
113,apartment,San Luis Potosí,,,167.0,
114,house,Yucatán,20.9993534,-89.5910162,192.0,
115,house,Estado de México,,,207.0,
116,house,Baja California Sur,24.1499447277,-110.3169306368,176.0,
117,apartment,Querétaro,,,104.0,
118,apartment,Distrito Federal,19.384533,-99.183172,120.0,
119,house,Distrito Federal,19.317922,-99.236124,350.0,
120,house,Estado de México,19.696592,-99.231445,87.0,
121,apartment,Distrito Federal,19.3825040623,-99.1580399126,78.0,
122,apartment,Distrito Federal,19.401819,-99.184615,75.0,
123,house,Puebla,18.998509,-98.179484,200.0,
124,apartment,San Luis Potosí,22.1418,-101.027344,114.0,
125,house,Yucatán,21.072905,-89.65963,266.0,
126,house,Nuevo León,25.6318511,-100.170963,204.0,
127,house,Estado de México,19.283869,-99.588992,70.0,
128,house,Jalisco,20.532827,-103.483829,155.0,
129,house,Morelos,18.918608,-98.941094,247.0,
130,apartment,Jalisco,20.649012,-103.448288,88.0,
131,house,Yucatán,21.030668,-89.599258,175.0,
132,house,Zacatecas,23.634501,-102.552788,170.0,
133,apartment,Distrito Federal,19.380937,-99.179545,98.0,
134,apartment,Estado de México,19.559799,-99.233795,60.0,
135,house,Yucatán,21.072905,-89.65963,127.0,
136,house,Distrito Federal,19.367215,-99.222138,180.0,
137,house,Puebla,,,320.0,
138,house,Puebla,19.044477,-98.328011,326.0,
139,house,Veracruz de Ignacio de la Llave,18.134026,-94.476112,210.0,
140,house,Veracruz de Ignacio de la Llave,25.572505,-103.425036,330.0,
141,house,Chiapas,,,300.0,
142,house,Estado de México,19.290517,-99.694921,157.0,
143,house,Jalisco,20.788616,-103.435217,156.0,
144,apartment,Nuevo León,25.6526883,-100.4122654,101.0,
145,house,Nuevo León,25.680067,-100.458626,336.0,
146,house,Estado de México,19.305643,-98.901535,120.0,
147,house,Estado de México,19.684991,-99.225298,60.0,
148,house,Yucatán,21.008295,-89.591019,282.0,
149,apartment,Guerrero,16.8572859,-99.9089643,130.0,
150,house,San Luis Potosí,22.093321,-100.895958,110.0,
151,house,Puebla,23.634501,-102.552788,156.0,
152,house,San Luis Potosí,22.1387477,-101.0181525,200.0,
153,house,Estado de México,19.428043,-99.227384,309.0,
154,house,Hidalgo,20.059217,-98.790423,200.0,
155,house,Yucatán,21.292982,-89.603973,100.0,
156,house,Morelos,18.903454,-99.056687,145.0,
157,house,Distrito Federal,19.411699,-99.166247,120.0,
158,house,Morelos,18.8917916491,-99.2227220535,183.0,
159,house,Yucatán,21.0424858,-89.5568382,107.0,
160,apartment,Querétaro,20.711874,-100.448934,140.0,
161,apartment,Distrito Federal,19.428152,-99.106194,67.0,
162,house,Estado de México,19.234822,-99.559659,115.0,
163,house,Estado de México,19.558449,-99.22973,180.0,
164,house,Chihuahua,28.652079,-106.109581,227.0,
165,house,Hidalgo,,,175.0,
166,house,Nuevo León,25.707024,-100.21376,250.0,
167,house,Aguascalientes,21.878481,-102.332787,215.0,
168,house,Veracruz de Ignacio de la Llave,19.155567,-96.13928,165.0,
169,house,Hidalgo,20.0568798423,-98.7653755526,200.0,
170,house,Nuevo León,25.634661,-100.295769,242.0,
171,apartment,Distrito Federal,19.367931,-99.170262,120.0,
172,house,Distrito Federal,19.360526,-99.301674,220.0,
173,house,Distrito Federal,19.464398,-99.113317,304.0,
174,house,Puebla,19.01195,-98.219383,385.0,
175,house,Yucatán,,,110.0,
176,apartment,Yucatán,21.2929822,-89.6039725,255.0,
177,house,Distrito Federal,19.351396,-99.130999,225.0,
178,house,Morelos,18.93409,-99.254997,218.0,
179,house,Querétaro,20.6990975,-100.4705682,276.0,
180,house,Yucatán,21.030668,-89.599258,100.0,
181,house,Sinaloa,,,137.0,
182,house,Yucatán,20.996355,-89.583946,201.0,
183,house,Puebla,18.983141,-98.265739,135.0,
184,house,Estado de México,19.2826098,-99.6556653,90.0,
185,house,San Luis Potosí,,,164.0,
186,house,Tamaulipas,22.4107891,-97.9342897,176.0,
187,house,Tabasco,18.263374,-93.179222,104.0,
188,house,Distrito Federal,19.396669,-99.067626,220.0,
189,house,Yucatán,21.039522,-89.563911,174.0,
190,house,Estado de México,19.545097,-99.21289,233.0,
191,apartment,Puebla,19.054064,-98.245911,95.0,
192,house,Estado de México,19.62378,-99.199085,153.0,
193,house,Sinaloa,23.240411,-106.432565,189.0,
194,apartment,Distrito Federal,19.452331,-99.177162,90.0,
195,house,Quintana Roo,21.129547,-86.817017,275.0,
196,house,Morelos,,,170.0,
197,apartment,Distrito Federal,19.342083,-99.0532159,86.0,
